h1;h2;h3;h4;h5;h6;h7;males;females
1;1;1;1;1;1;0;1;0
1;1;1;1;1;0;0;0;1
1;1;1;1;0;0;0;1;0
1;1;1;1;0;0;0;0;1
1;1;0;1;1;1;0;0;1
1;1;0;0;0;0;0;1;0
1;1;0;0;0;0;0;1;0
1;1;0;0;0;0;0;1;0
1;1;0;0;0;0;0;1;0
1;1;0;0;0;0;0;0;1
1;1;0;0;0;0;0;0;1
1;0;1;0;0;0;0;1;0
1;0;1;0;0;0;0;0;1
1;0;0;0;0;0;0;1;0
1;0;0;0;0;0;0;1;0
1;0;0;0;0;0;0;1;0
1;0;0;0;0;0;0;1;0
1;0;0;0;0;0;0;1;0
1;0;0;0;0;0;0;0;1
1;0;0;0;0;0;0;0;1
1;0;0;0;0;0;0;0;1
1;0;0;0;0;0;0;0;1
0;1;1;1;1;1;1;0;1
0;1;1;1;1;1;1;0;1
0;1;1;1;1;1;0;0;1
0;1;1;1;1;0;0;1;0
0;1;1;1;1;0;0;0;1
0;1;1;1;1;0;0;0;1
0;1;1;1;0;0;0;1;0
0;1;1;1;0;0;0;0;1
0;1;1;0;1;1;0;0;1
0;1;1;0;0;0;0;1;0
0;1;1;0;0;0;0;1;0
0;1;1;0;0;0;0;1;0
0;1;1;0;0;0;0;1;0
0;1;1;0;0;0;0;1;0
0;1;1;0;0;0;0;1;0
0;1;1;0;0;0;0;1;0
0;1;1;0;0;0;0;0;1
0;1;1;0;0;0;0;0;1
0;1;1;0;0;0;0;0;1
0;1;1;0;0;0;0;0;1
0;1;0;0;0;0;0;1;0
0;1;0;0;0;0;0;1;0
0;1;0;0;0;0;0;1;0
0;1;0;0;0;0;0;1;0
0;1;0;0;0;0;0;1;0
0;1;0;0;0;0;0;1;0
0;1;0;0;0;0;0;1;0
0;1;0;0;0;0;0;1;0
0;1;0;0;0;0;0;1;0
0;1;0;0;0;0;0;1;0
0;1;0;0;0;0;0;1;0
0;1;0;0;0;0;0;0;1
0;1;0;0;0;0;0;0;1
0;1;0;0;0;0;0;0;1
0;1;0;0;0;0;0;0;1
0;1;0;0;0;0;0;0;1
0;1;0;0;0;0;0;0;1
0;1;0;0;0;0;0;0;1
0;1;0;0;0;0;0;0;1
0;1;0;0;0;0;0;0;1
0;1;0;0;0;0;0;0;1
0;1;0;0;0;0;0;0;1
0;1;0;0;0;0;0;0;1
0;1;0;0;0;0;0;0;1
0;1;0;0;0;0;0;0;1
0;1;0;0;0;0;0;0;1
0;1;0;0;0;0;0;0;1
0;1;0;0;0;0;0;0;1
0;1;0;0;0;0;0;0;1
0;0;1;1;1;1;1;0;1
0;0;1;1;1;1;1;0;1
0;0;1;1;1;1;0;1;0
0;0;1;1;1;1;0;0;1
0;0;1;1;1;0;0;1;0
0;0;1;1;1;0;0;1;0
0;0;1;1;1;0;0;1;0
0;0;1;1;1;0;0;1;0
0;0;1;1;1;0;0;0;1
0;0;1;1;1;0;0;0;1
0;0;1;1;0;0;0;1;0
0;0;1;1;0;0;0;1;0
0;0;1;1;0;0;0;1;0
0;0;1;1;0;0;0;1;0
0;0;1;1;0;0;0;1;0
0;0;1;1;0;0;0;1;0
0;0;1;1;0;0;0;1;0
0;0;1;1;0;0;0;1;0
0;0;1;1;0;0;0;0;1
0;0;1;1;0;0;0;0;1
0;0;1;1;0;0;0;0;1
0;0;1;1;0;0;0;0;1
0;0;1;0;1;1;0;1;0
0;0;1;0;0;0;0;1;0
0;0;1;0;0;0;0;1;0
0;0;1;0;0;0;0;1;0
0;0;1;0;0;0;0;1;0
0;0;1;0;0;0;0;1;0
0;0;1;0;0;0;0;1;0
0;0;1;0;0;0;0;1;0
0;0;1;0;0;0;0;1;0
0;0;1;0;0;0;0;1;0
0;0;1;0;0;0;0;1;0
0;0;1;0;0;0;0;1;0
0;0;1;0;0;0;0;0;1
0;0;1;0;0;0;0;0;1
0;0;1;0;0;0;0;0;1
0;0;1;0;0;0;0;0;1
0;0;1;0;0;0;0;0;1
0;0;1;0;0;0;0;0;1
0;0;1;0;0;0;0;0;1
0;0;1;0;0;0;0;0;1
0;0;1;0;0;0;0;0;1
0;0;1;0;0;0;0;0;1
0;0;1;0;0;0;0;0;1
0;0;1;0;0;0;0;0;1
0;0;1;0;0;0;0;0;1
0;0;1;0;0;0;0;0;1
0;0;1;0;0;0;0;0;1
0;0;1;0;0;0;0;0;1
0;0;1;0;0;0;0;0;1
0;0;1;0;0;0;0;0;1
0;0;0;1;1;1;1;1;0
0;0;0;1;1;1;1;1;0
0;0;0;1;1;1;1;1;0
0;0;0;1;1;1;1;1;0
0;0;0;1;1;1;1;1;0
0;0;0;1;1;1;1;1;0
0;0;0;1;1;1;1;0;1
0;0;0;1;1;1;1;0;1
0;0;0;1;1;1;0;1;0
0;0;0;1;1;1;0;1;0
0;0;0;1;1;1;0;1;0
0;0;0;1;1;1;0;0;1
0;0;0;1;1;1;0;0;1
0;0;0;1;1;1;0;0;1
0;0;0;1;1;1;0;0;1
0;0;0;1;1;0;0;1;0
0;0;0;1;1;0;0;1;0
0;0;0;1;1;0;0;1;0
0;0;0;1;1;0;0;1;0
0;0;0;1;1;0;0;1;0
0;0;0;1;1;0;0;1;0
0;0;0;1;1;0;0;0;1
0;0;0;1;1;0;0;0;1
0;0;0;1;1;0;0;0;1
0;0;0;1;1;0;0;0;1
0;0;0;1;1;0;0;0;1
0;0;0;1;0;1;1;0;1
0;0;0;1;0;0;1;1;0
0;0;0;1;0;0;1;0;1
0;0;0;1;0;0;0;1;0
0;0;0;1;0;0;0;1;0
0;0;0;1;0;0;0;1;0
